Environment,Phenotype,pine_correlation,spruce_correlation,PhenAbb,HeatmapOrder_Phen_Pine,HeatmapOrder_Envi_Pine
AHM,BudBreakS02_day,0.02,-0.16,BB,3,6
AHM,BudSet_day,0.13,0.16,BS,2,6
AHM,ColdInjuryFallS02_Mean,-0.07,-0.4,FCI,11,6
AHM,ColdInjuryMidWinterS02_Mean,-0.12,-0.46,WCI,10,6
AHM,ColdInjurySpringS02_Mean,-0.11,-0.23,SCI,12,6
AHM,FinalRootWeightS02_g,0.21,0.14,RTWT,14,6
AHM,FinalShootWeightS02_g,0.13,0.15,SHWT,16,6
AHM,FinalStemDiamS02_mm,0.17,-0.06,DIAM,15,6
AHM,Gth5.95pctS02_Days,-0.04,0.01,5D95,8,6
AHM,Gth5pctS02_Day,0.06,0.17,D05G,6,6
AHM,Gth95pctS02_Day,0,0.05,D95G,5,6
AHM,HtFinalS01_mm,0.22,0.05,HS1,9,6
AHM,HtFinalS02_mm,0.21,0.13,HS2,13,6
AHM,LinearGthS02_Days,-0.09,-0.08,LGD,7,6
AHM,MaxGthRate_mm_Day,0.03,-0.38,MGR,4,6
AHM,RootShoot_Ratio,0.22,0.09,RSW,1,6
AHM,TotalWeight,0.21,-0.04,RWSW,17,6
bFFP,BudBreakS02_day,-0.22,0.16,BB,3,19
bFFP,BudSet_day,-0.11,-0.18,BS,2,19
bFFP,ColdInjuryFallS02_Mean,-0.03,0.32,FCI,11,19
bFFP,ColdInjuryMidWinterS02_Mean,-0.07,0.32,WCI,10,19
bFFP,ColdInjurySpringS02_Mean,0.09,0.14,SCI,12,19
bFFP,FinalRootWeightS02_g,-0.18,-0.12,RTWT,14,19
bFFP,FinalShootWeightS02_g,-0.14,-0.12,SHWT,16,19
bFFP,FinalStemDiamS02_mm,-0.18,0.08,DIAM,15,19
bFFP,Gth5.95pctS02_Days,-0.03,-0.03,5D95,8,19
bFFP,Gth5pctS02_Day,-0.17,-0.24,D05G,6,19
bFFP,Gth95pctS02_Day,-0.18,-0.09,D95G,5,19
bFFP,HtFinalS01_mm,-0.26,-0.04,HS1,9,19
bFFP,HtFinalS02_mm,-0.27,-0.14,HS2,13,19
bFFP,LinearGthS02_Days,0.05,0.06,LGD,7,19
bFFP,MaxGthRate_mm_Day,0.09,0.36,MGR,4,19
bFFP,RootShoot_Ratio,-0.15,-0.07,RSW,1,19
bFFP,TotalWeight,-0.1,0.04,RWSW,17,19
CMD,BudBreakS02_day,-0.08,-0.15,BB,3,8
CMD,BudSet_day,0.4,0.33,BS,2,8
CMD,ColdInjuryFallS02_Mean,0.13,-0.04,FCI,11,8
CMD,ColdInjuryMidWinterS02_Mean,0.11,-0.14,WCI,10,8
CMD,ColdInjurySpringS02_Mean,0,0.08,SCI,12,8
CMD,FinalRootWeightS02_g,0.19,0.31,RTWT,14,8
CMD,FinalShootWeightS02_g,0.12,0.1,SHWT,16,8
CMD,FinalStemDiamS02_mm,0.17,0.16,DIAM,15,8
CMD,Gth5.95pctS02_Days,0.07,0.25,5D95,8,8
CMD,Gth5pctS02_Day,0.04,0.16,D05G,6,8
CMD,Gth95pctS02_Day,0.13,0.29,D95G,5,8
